TIAB`To Infinity And Beyond
FUBU`Fouled Up Beyond Use| Clothing brand
BBB`Bugging Beyond Belief
DBR`Damaged Beyond Repair
FUBAR`Fouled Up Beyond All Recognition
LBR`Loser Beyond Repair
FUBB`Fouled Up Beyond Belief
BER`Beyond Economical Repair
